table_name,column_name,exact_data_type,is_nullable,is_primary_key,is_foreign_key,references_table,references_column
species_sightings,inflorescence_type,text,YES,false,false,null,null
species_sightings,petal_characteristics,text,YES,false,false,null,null
species_sightings,sepal_characteristics,text,YES,false,false,null,null
species_sightings,fragrance,text,YES,false,false,null,null
species_sightings,blooming_stage,text,YES,false,false,null,null
species_sightings,fruit_present,text,YES,false,false,null,null
species_sightings,fruit_type,text,YES,false,false,null,null
species_sightings,seed_capsule_condition,text,YES,false,false,null,null
species_sightings,mountain_name,text,YES,false,false,null,null
species_sightings,habitat_type,text,YES,false,false,null,null
species_sightings,microhabitat,text,YES,false,false,null,null
species_sightings,leaf_shape,text,YES,false,false,null,null
species_sightings,flower_color,text,YES,false,false,null,null
species_sightings,life_stage,text,YES,false,false,null,null
species_sightings,phenology,text,YES,false,false,null,null
species_sightings,population_count,integer,YES,false,false,null,null
species_sightings,population_status,text,YES,false,false,null,null
species_sightings,threat_level,text,YES,false,false,null,null
species_sightings,threat_types,text,YES,false,false,null,null
species_sightings,institution,text,YES,false,false,null,null
species_sightings,team_members,jsonb,YES,false,false,null,null
species_sightings,whole_plant_photo_path,text,YES,false,false,null,null
species_sightings,closeup_flower_photo_path,text,YES,false,false,null,null
species_sightings,habitat_photo_path,text,YES,false,false,null,null
user,user_id,integer,NO,true,false,null,null
user,first_name,character varying(255),NO,false,false,null,null
user,last_name,character varying(255),NO,false,false,null,null
user,address_id,integer,YES,false,true,address,address_id
user,affiliation_id,integer,YES,false,true,affiliation,affiliation_id
user,gender_id,integer,YES,false,true,gender,gender_id
user_drafts,draft_id,text,NO,true,false,null,null
user_drafts,account_id,integer,NO,false,true,account,account_id
user_drafts,draft_data,jsonb,NO,false,false,null,null
user_drafts,updated_at,timestamp with time zone,NO,false,false,null,null
users,id,integer,NO,true,false,null,null
users,first_name,character varying(100),NO,false,false,null,null
users,last_name,character varying(100),NO,false,false,null,null
users,email,character varying(255),NO,false,false,null,null
users,birth_date,date,YES,false,false,null,null
users,phone,character varying(30),YES,false,false,null,null
users,password_hash,text,NO,false,false,null,null
users,created_at,timestamp with time zone,YES,false,false,null,null
users,profile_photo_url,text,YES,false,false,null,null
